dip_direction,dip,rake,magnitude,easting,northing,depth_m
145,20,-10.0,1.92,618290.2747656597,4127786.0259174416,-4780.0
330,80,10.0,2.11,619262.3799801766,4125931.820664915,-3820.0
235,65,130.0,3.6,627529.9738939033,4111941.5076185004,-2330.0
160,45,-10.0,3.0,621709.9469829779,4122267.985235878,-4140.0
200,30,60.0,1.81,618883.9447535721,4128645.1897859606,-8130.000000000001
5,70,80.0,1.81,618883.9447535721,4128645.1897859606,-8130.000000000001
215,65,70.0,2.09,619527.3187726917,4126009.5719269724,-4890.0
215,30,40.0,2.33,627474.121541308,4111718.720623248,-2730.0
160,65,0.0,2.08,618779.9157434173,4127644.9919316326,-8510.0
320,45,-20.0,2.36,623282.4833692673,4119905.06618776,-4010.0
325,85,-40.0,2.2,619502.7907387369,4126693.532572097,-7710.0
175,85,30.0,2.43,619108.6299067624,4127390.7284439835,-8620.0
80,90,-150.0,2.43,619108.6299067624,4127390.7284439835,-8620.0
225,55,110.0,3.7,627725.7685895023,4111722.5316463383,-2660.0
335,85,70.0,1.68,621114.1637804755,4123591.003749348,-5110.0
80,80,-120.0,1.68,621114.1637804755,4123591.003749348,-5110.0
235,85,170.0,2.72,619227.0413354953,4126338.2046847446,-6020.0
150,55,-20.0,1.9,626276.5065629194,4117526.648990224,-8370.0
235,85,140.0,3.0,620395.6279376713,4124209.49142076,-3760.0
150,85,40.0,1.56,618290.5357378025,4127767.534791545,-5770.0
195,75,60.0,1.63,626865.6164811676,4113780.9893681337,-3480.0
140,90,-60.0,1.6,619172.9864229262,4127021.7457988705,-7660.0
195,60,30.0,1.78,627302.3204235341,4114268.4557007435,-3550.0
220,35,90.0,1.9,629556.2721996402,4106294.3801697223,-3190.0
165,30,10.0,2.05,627785.4770087339,4112666.691372907,-2410.0
145,40,-30.0,2.19,620736.110913645,4124177.393686594,-5360.0
315,45,-20.0,2.81,620692.3012023226,4124139.773641757,-4550.0
245,80,-140.0,2.81,620692.3012023226,4124139.773641757,-4550.0
