"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
-0.55284,0.55284,-0.62349,5.6695e+05,4.1441e+06,-3234.2
-0.3068,0.3068,-0.90097,5.6698e+05,4.144e+06,-3261.9
-0.43388,5.3135e-17,0.90097,5.6697e+05,4.144e+06,-3081.8
-0.78183,9.5747e-17,0.62349,5.6693e+05,4.144e+06,-3109.5
-0.97493,1.1939e-16,0.22252,5.6691e+05,4.144e+06,-3149.6
-0.97493,1.1939e-16,-0.22252,5.6691e+05,4.144e+06,-3194.1
-0.78183,9.5747e-17,-0.62349,5.6693e+05,4.144e+06,-3234.2
-0.43388,5.3135e-17,-0.90097,5.6697e+05,4.144e+06,-3261.9
-0.3068,-0.3068,0.90097,5.6698e+05,4.144e+06,-3081.8
-0.55284,-0.55284,0.62349,5.6695e+05,4.144e+06,-3109.5
-0.68938,-0.68938,0.22252,5.6694e+05,4.1439e+06,-3149.6
-0.68938,-0.68938,-0.22252,5.6694e+05,4.1439e+06,-3194.1
-0.55284,-0.55284,-0.62349,5.6695e+05,4.144e+06,-3234.2
-0.3068,-0.3068,-0.90097,5.6698e+05,4.144e+06,-3261.9
-7.9703e-17,-0.43388,0.90097,5.6701e+05,4.144e+06,-3081.8
-1.4362e-16,-0.78183,0.62349,5.6701e+05,4.1439e+06,-3109.5
-1.7909e-16,-0.97493,0.22252,5.6701e+05,4.1439e+06,-3149.6
-1.7909e-16,-0.97493,-0.22252,5.6701e+05,4.1439e+06,-3194.1
-1.4362e-16,-0.78183,-0.62349,5.6701e+05,4.1439e+06,-3234.2
-7.9703e-17,-0.43388,-0.90097,5.6701e+05,4.144e+06,-3261.9
0.3068,-0.3068,0.90097,5.6704e+05,4.144e+06,-3081.8
0.55284,-0.55284,0.62349,5.6706e+05,4.144e+06,-3109.5
0.68938,-0.68938,0.22252,5.6708e+05,4.1439e+06,-3149.6
0.68938,-0.68938,-0.22252,5.6708e+05,4.1439e+06,-3194.1
0.55284,-0.55284,-0.62349,5.6706e+05,4.144e+06,-3234.2
0.3068,-0.3068,-0.90097,5.6704e+05,4.144e+06,-3261.9
0,0,1,5.6659e+05,4.1437e+06,-3251.5
0,0,-1,5.6659e+05,4.1437e+06,-3451.5
0.43388,0,0.90097,5.6663e+05,4.1437e+06,-3261.4
0.78183,0,0.62349,5.6667e+05,4.1437e+06,-3289.2
0.97493,0,0.22252,5.6669e+05,4.1437e+06,-3329.3
0.97493,0,-0.22252,5.6669e+05,4.1437e+06,-3373.8
0.78183,0,-0.62349,5.6667e+05,4.1437e+06,-3413.9
0.43388,0,-0.90097,5.6663e+05,4.1437e+06,-3441.6
0.3068,0.3068,0.90097,5.6662e+05,4.1437e+06,-3261.4
0.55284,0.55284,0.62349,5.6664e+05,4.1438e+06,-3289.2
0.68938,0.68938,0.22252,5.6666e+05,4.1438e+06,-3329.3
0.68938,0.68938,-0.22252,5.6666e+05,4.1438e+06,-3373.8
0.55284,0.55284,-0.62349,5.6664e+05,4.1438e+06,-3413.9
0.3068,0.3068,-0.90097,5.6662e+05,4.1437e+06,-3441.6
